iter	RMSE
0	11114.11152
1	10347.04479
2	9728.363425
3	9127.539636
4	8582.38034
5	8046.200308
6	7565.075442
7	7146.940044
8	6832.176049
9	6486.207811
10	6221.146604
11	5968.729802
12	5743.211912
13	5558.979199
14	5387.201477
15	5248.750441
16	5127.204052
17	5024.514987
18	4918.949457
19	4844.90992
20	4782.277137
21	4721.41715
22	4662.015056
23	4610.322756
24	4565.416982
25	4525.360194
26	4489.94625
27	4449.779405
28	4423.863929
29	4396.131856
30	4375.690088
31	4342.342853
32	4319.024552
33	4314.12302
34	4302.275945
35	4284.427291
36	4281.381038
37	4269.041893
38	4254.773773
39	4239.93333
40	4229.897847
41	4217.261856
42	4206.4488
43	4194.374651
44	4180.891266
45	4170.047838
46	4158.813535
47	4152.148689
48	4138.629669
49	4131.468851
50	4126.766978
51	4121.662874
52	4115.016576
53	4108.794244
54	4102.684273
55	4101.704233
56	4091.710719
57	4087.189363
58	4080.08016
59	4070.726464
60	4057.556044
61	4050.767555
62	4038.400482
63	4035.912598
64	4027.478734
65	4016.342217
66	4006.723329
67	4001.445017
68	3996.66463
69	3988.630516
70	3981.873887
71	3974.392317
72	3966.97264
73	3958.562512
74	3951.826427
75	3947.615221
76	3942.960517
77	3937.438473
78	3933.554003
79	3926.53392
80	3921.623453
81	3913.689208
82	3910.45196
83	3899.692802
84	3894.196024
85	3884.986245
86	3876.511379
87	3870.178895
88	3860.918431
89	3854.867284
90	3848.717887
91	3846.130291
92	3843.844847
93	3837.184046
94	3834.158044
95	3831.504028
96	3822.825378
97	3817.282814
98	3814.543461
99	3812.641877
100	3804.110603
101	3799.155058
102	3798.725923
103	3795.023689
104	3790.385031
105	3784.177091
106	3770.109278
107	3760.510554
108	3752.572254
109	3752.19701
110	3744.513799
111	3741.734849
112	3735.87311
113	3730.357177
114	3728.968805
115	3727.246872
116	3723.906716
117	3718.107367
118	3713.613025
119	3712.503603
120	3711.381044
121	3700.992288
122	3690.015254
123	3686.607712
124	3685.338752
125	3680.656937
126	3674.29834
127	3666.99394
128	3662.55199
129	3650.071501
130	3645.220473
131	3643.879554
132	3639.11241
133	3638.09669
134	3633.662471
135	3632.718491
136	3624.524384
137	3618.513633
138	3608.304135
139	3603.360925
140	3600.113362
141	3597.543253
142	3593.032821
143	3584.77936
144	3576.909056
145	3576.389251
146	3570.286839
147	3566.422589
148	3562.412286
149	3555.444227
150	3549.863995
151	3548.698942
152	3545.275495
153	3540.949924
154	3535.219756
155	3533.833167
156	3525.517453
157	3521.78161
158	3516.486099
159	3515.021675
160	3509.927336
161	3508.272172
162	3503.405301
163	3498.5146
164	3492.060696
165	3486.85984
166	3480.316826
167	3477.606321
168	3471.633
169	3470.636417
170	3466.556433
171	3465.050721
172	3459.233277
173	3452.327801
174	3449.661878
175	3448.995716
176	3440.315705
177	3436.934497
178	3428.052247
179	3427.094216
180	3420.962101
181	3417.982274
182	3410.410269
183	3397.144936
184	3391.811801
185	3389.83218
186	3383.01525
187	3376.026002
188	3368.833029
189	3358.543246
190	3355.169375
191	3352.260211
192	3350.74323
193	3346.650778
194	3340.155447
195	3333.931689
196	3332.857481
197	3331.559127
198	3329.938358
199	3322.252942
200	3314.842694
201	3311.034971
202	3306.256315
203	3301.505652
204	3295.591747
205	3291.255672
206	3286.410946
207	3281.285172
208	3279.680915
209	3273.320735
210	3270.654029
211	3263.875392
212	3262.523384
213	3257.006508
214	3252.603766
215	3249.096666
216	3245.439123
217	3241.281498
218	3236.527904
219	3232.148007
220	3229.334444
221	3225.397351
222	3222.505847
223	3220.227868
224	3216.48521
225	3211.669428
226	3207.55094
227	3203.004266
228	3200.483285
229	3194.048896
230	3193.400118
231	3184.831277
232	3182.046993
233	3178.484511
234	3175.826091
235	3175.334636
236	3174.460737
237	3171.477785
238	3168.578802
239	3160.475021
240	3158.99612
241	3155.518926
242	3152.637437
243	3151.349661
244	3149.611124
245	3147.798371
246	3146.735409
247	3136.914622
248	3134.417703
249	3128.41867
250	3124.214904
251	3122.28227
252	3120.98943
253	3120.556506
254	3116.682567
255	3115.339686
256	3108.020674
257	3107.373087
258	3100.531837
259	3098.855992
260	3097.689071
261	3093.93534
262	3091.094264
263	3087.411337
264	3079.344142
265	3075.348078
266	3071.500432
267	3065.071792
268	3058.581249
269	3055.41902
270	3049.775358
271	3047.688826
272	3039.295255
273	3037.652103
274	3031.749916
275	3027.805802
276	3026.597667
277	3023.81398
278	3018.098606
279	3015.609896
280	3012.841172
281	3008.892933
282	3007.02712
283	3000.946272
284	2993.343274
285	2992.279132
286	2991.307317
287	2989.385819
288	2986.303589
289	2984.275463
290	2979.891143
291	2977.438288
292	2972.987352
293	2968.147689
294	2966.178636
295	2965.649808
296	2961.785361
297	2958.7445
298	2953.440655
299	2951.753348
300	2950.365945
301	2943.572524
302	2940.659116
303	2938.971449
304	2933.053272
305	2932.733704
306	2929.674799
307	2927.885045
308	2926.303785
309	2922.394227
310	2919.563997
311	2918.028435
312	2911.044262
313	2906.536417
314	2901.098266
315	2898.474867
316	2896.005646
317	2892.727617
318	2891.868768
319	2886.862666
320	2878.530195
321	2874.312703
322	2867.650837
323	2865.442254
324	2858.051733
325	2853.848409
326	2846.586376
327	2845.856695
328	2845.004778
329	2843.720316
330	2843.485778
331	2840.065673
332	2834.489024
333	2831.385561
334	2828.945113
335	2826.929389
336	2824.252452
337	2817.535489
338	2815.573195
339	2813.598855
340	2812.072814
341	2807.800673
342	2806.855557
343	2805.352441
344	2804.009461
345	2802.617147
346	2801.220627
347	2800.027667
348	2799.210107
349	2795.214762
350	2793.755016
351	2792.606508
352	2787.632753
353	2787.062574
354	2783.439788
355	2778.646523
356	2777.831441
357	2775.794373
358	2775.40472
359	2774.794824
360	2770.389426
361	2768.859078
362	2764.476841
363	2762.493498
364	2761.702881
365	2759.791583
366	2757.962265
367	2754.595062
368	2749.252937
369	2748.5926
370	2745.203822
371	2744.900101
372	2743.095625
373	2741.691767
374	2737.932044
375	2733.292681
376	2729.197151
377	2724.565423
378	2721.984899
379	2716.691894
380	2711.513707
381	2708.893759
382	2706.691795
383	2705.244408
384	2702.425589
385	2701.511854
386	2698.537021
387	2692.649857
388	2685.791449
389	2682.833028
390	2680.937798
391	2680.250378
392	2678.688298
393	2676.040454
394	2674.66226
395	2671.481473
396	2669.981826
397	2667.394485
398	2663.858046
399	2660.865176
400	2659.809056
401	2657.133971
402	2655.285448
403	2652.792841
404	2650.674252
405	2648.946234
406	2647.914394
407	2644.981721
408	2642.170634
409	2641.495331
410	2638.48891
411	2636.017295
412	2632.384402
413	2627.036128
414	2622.042302
415	2619.698377
416	2615.098019
417	2612.569769
418	2611.447315
419	2608.453506
420	2607.785504
421	2604.795726
422	2601.844974
423	2595.32429
424	2593.749729
425	2590.082645
426	2586.925533
427	2585.320491
428	2582.75292
429	2577.678761
430	2575.136276
431	2571.028959
432	2566.192435
433	2562.675968
434	2560.111607
435	2558.382733
436	2555.839494
437	2555.083924
438	2551.538811
439	2550.84209
440	2548.393744
441	2545.367934
442	2544.919073
443	2542.630355
444	2541.297424
445	2536.731047
446	2533.581377
447	2532.471966
448	2529.070547
449	2526.997721
450	2526.421967
451	2520.638279
452	2515.682132
453	2514.655343
454	2509.648162
455	2508.592237
456	2505.994328
457	2502.418275
458	2498.910354
459	2496.963125
460	2496.051597
461	2492.404627
462	2490.924468
