iter	Passed	Remaining
0	60	30110
1	61	15197
2	61	10205
3	62	7707
4	62	6177
5	62	5161
6	63	4454
7	63	3924
8	64	3501
9	64	3170
10	65	2904
11	65	2680
12	66	2490
13	66	2324
14	67	2183
15	68	2059
16	68	1947
17	68	1842
18	69	1754
19	69	1678
20	70	1602
21	70	1538
22	71	1484
23	72	1429
24	72	1378
25	73	1333
26	73	1290
27	74	1250
28	74	1212
29	75	1178
30	75	1146
31	76	1117
32	76	1089
33	77	1057
34	77	1031
35	78	1007
36	78	980
37	78	959
38	79	938
39	79	918
40	80	899
41	80	882
42	81	864
43	81	848
44	82	832
45	82	817
46	83	803
47	83	789
48	84	776
49	84	764
50	85	752
51	85	740
52	86	729
53	86	718
54	87	708
55	87	695
56	88	686
57	88	676
58	89	667
59	89	659
60	90	651
61	91	642
62	91	635
63	92	627
64	92	619
65	93	612
66	93	605
67	94	598
68	94	591
69	95	584
70	95	578
71	96	572
72	96	566
73	97	560
74	97	554
75	98	549
76	99	544
77	99	538
78	100	533
79	100	527
80	101	523
81	101	518
82	102	514
83	102	509
84	103	504
85	103	499
86	104	495
87	104	490
88	105	487
89	106	483
90	106	478
91	107	474
92	107	470
93	108	467
94	108	463
95	109	459
96	109	455
97	110	451
98	110	448
99	111	444
100	111	441
101	112	438
102	112	433
103	113	430
104	113	427
105	114	424
106	114	421
107	115	418
108	115	415
109	116	411
110	116	408
111	117	405
112	117	402
113	118	399
114	118	396
115	119	394
116	119	391
117	120	388
118	120	386
119	121	383
120	121	380
121	122	378
122	122	376
123	123	373
124	123	371
125	124	369
126	124	367
127	125	364
128	125	362
129	126	359
130	127	357
131	127	355
132	128	353
133	128	351
134	129	349
135	129	347
136	130	345
137	130	343
138	131	341
139	131	339
140	132	337
141	132	335
142	133	333
143	134	331
144	134	329
145	135	327
146	135	325
147	136	323
148	136	321
149	137	320
150	137	318
151	138	316
152	138	315
153	139	313
154	140	311
155	140	309
156	141	308
157	141	306
158	142	304
159	142	303
160	143	301
161	143	300
162	144	298
163	144	297
164	145	295
165	146	293
166	146	292
167	147	290
168	147	289
169	148	287
170	148	286
171	149	284
172	149	283
173	150	281
174	150	280
175	151	278
176	151	277
177	152	275
178	152	274
179	153	273
180	154	272
181	155	270
182	155	269
183	156	267
184	156	266
185	157	265
186	157	263
187	158	262
188	158	260
189	159	259
190	159	258
191	160	257
192	160	255
193	161	254
194	161	253
195	162	251
196	162	250
197	163	249
198	163	247
199	164	246
200	164	245
201	165	244
202	165	242
203	166	241
204	166	240
205	167	239
206	168	237
207	168	236
208	169	236
209	170	235
210	170	233
211	171	232
212	171	231
213	172	230
214	173	229
215	173	228
216	174	227
217	174	225
218	175	224
219	175	223
220	176	222
221	176	221
222	177	220
223	177	219
224	178	217
225	178	216
226	179	215
227	180	214
228	180	213
229	181	212
230	181	211
231	182	210
232	182	209
233	183	208
234	183	207
235	184	206
236	184	205
237	185	204
238	185	202
239	186	201
240	186	200
241	187	199
242	187	198
243	188	197
244	189	196
245	189	195
246	190	194
247	190	193
248	191	192
249	191	191
250	191	190
251	192	189
252	192	188
253	193	187
254	193	186
255	194	185
256	194	184
257	195	183
258	195	182
259	196	181
260	196	180
261	197	179
262	198	178
263	198	177
264	198	176
265	199	175
266	200	174
267	201	174
268	201	173
269	202	172
270	202	171
271	203	170
272	203	169
273	204	168
274	204	167
275	205	166
276	205	165
277	206	164
278	206	163
279	207	162
280	207	162
281	208	161
282	208	160
283	209	159
284	210	158
285	210	157
286	211	156
287	211	155
288	212	154
289	212	154
290	213	153
291	213	152
292	214	151
293	214	150
294	215	149
295	216	148
296	216	148
297	217	147
298	217	146
299	218	145
300	218	144
301	219	143
302	219	142
303	220	141
304	220	141
305	221	140
306	221	139
307	222	138
308	222	137
309	223	136
310	223	136
311	224	135
312	224	134
313	225	133
314	225	132
315	226	131
316	226	130
317	227	130
318	227	129
319	228	128
320	228	127
321	229	126
322	229	125
323	230	125
324	230	124
325	231	123
326	231	122
327	232	121
328	233	121
329	233	120
330	234	119
331	234	118
332	235	117
333	235	117
334	235	116
335	236	115
336	236	114
337	237	113
338	238	113
339	238	112
340	239	111
341	239	110
342	240	109
343	240	109
344	240	108
345	241	107
346	242	106
347	242	105
348	242	105
349	243	104
350	243	103
351	244	102
352	244	102
353	245	101
354	245	100
355	246	99
356	247	98
357	247	98
358	248	97
359	248	96
360	249	95
361	249	95
362	250	94
363	250	93
364	251	92
365	251	92
366	252	91
367	252	90
368	253	89
369	253	89
370	254	88
371	254	87
372	254	86
373	255	86
374	256	85
375	256	84
376	257	83
377	258	83
378	258	82
379	258	81
380	259	81
381	259	80
382	260	79
383	261	78
384	261	78
385	262	77
386	262	76
387	263	75
388	263	75
389	264	74
390	264	73
391	264	73
392	265	72
393	265	71
394	266	70
395	267	70
396	267	69
397	268	68
398	268	67
399	269	67
400	269	66
401	270	65
402	270	65
403	270	64
404	271	63
405	271	62
406	272	62
407	272	61
408	273	60
409	273	60
410	274	59
411	274	58
412	275	58
413	276	57
414	276	56
415	277	55
